pid,marca_temporal,chopin,resumen
1,5/18/2020 10:48:27,En mi opinion es realmente triste y parece como si algo se fuera arruinando lentamente...,Desolacion Tristeza
2,5/18/2020 14:08:17,"nostalgia, melancolia, tristeza, desolacion, tranquilidad",Desolacion Melancolia Nostalgia Tranquilidad Tristeza
3,5/19/2020 11:38:42,"Pesar, nostalgia, amargura",Amargura Nostalgia Pesar
4,5/20/2020 11:08:53,"Es probable que mis interpretaciones tengan un sesgo de estres y tristeza debido a la cuarentena. Esta pieza me hizo sentir aun mas melancolica, en busca de alguien a quien hace mucho no veo, mi padre o un amor tal vez. ",Anhelo Melancolia
5,5/20/2020 11:27:42,"Tristeza, comprension, soledad, mi vida en estos momentos una interlocucion ",Comprension Soledad Tristeza
6,5/20/2020 11:35:15,Me senti melancolico y pensativo.,Melancolia Reflexion
7,5/20/2020 11:51:03,Desasosiego,Desasosiego
8,5/20/2020 12:12:43,"Paz, incertidumbre, alegria ",Alegria Incertidumbre Paz
9,5/20/2020 12:16:18,"Reconocimiento de la melodia, ternura, nostalgia, desencanto. ",Desencanto Ternura Tostalgia
10,5/20/2020 12:19:12,"Melancolia, tristeza, calma y por momentos alerta, como algo que se desenvolvia en ese momento.",Alerta Calma Melancolia Tristeza
11,5/20/2020 12:24:39,"Soledad, fracaso, tristeza",Fracaso Soledad Tristeza
12,5/20/2020 12:33:55,"Aqui genere melancolia, congoja, anoranza, reflexion ( variantes de la emocion de tristeza) en los ultimos segundos: paz.",Anoranza Congoja Melancolia Paz Refelxion Tristeza
13,5/20/2020 12:44:08,"Nostalgia, tristeza, anoranza, expectativa",Anoranza Expectativa Nostalgia Tristeza
14,5/20/2020 12:45:12,Nostalgia,Nostalgia
15,5/20/2020 12:47:33,una emocion introspectiva,Introspeccion
16,5/20/2020 12:50:25,Siento Nostalgia ,Nostalgia
17,5/20/2020 13:55:08,"Melancolia, soledad ",Melancolia Soledad
18,5/20/2020 13:59:39,"Nostalgia, melancolia, desesperanza, frustracion tristeza.",Desesperanza Frustracion Melancolia Nostalgia Tristeza
19,5/20/2020 14:10:23,Esperanza ,Esperanza
20,5/20/2020 14:26:32,Tristeza,Tristeza
21,5/20/2020 14:45:57,Me da como tristeza o nostalgia ,Nostalgia Tristeza
22,5/20/2020 14:53:34,Alegria,Alegria
23,5/20/2020 15:12:11,Nostalgia ,Nostalgia
24,5/20/2020 15:12:30,"Melancolia, tristeza y cierta inquietud",Inquietud Melancolia Tristeza
25,5/20/2020 17:15:42,"Tristeza, de pronto un movimiento alto repetitivo seguido de una paz hasta el final",Paz Tristeza
26,5/20/2020 17:42:13,Esta pieza me hizo sentir melancolia y nostalgia. ,Melancolia Nostalgia
27,5/20/2020 19:08:25,Tristeza ,Tristeza
28,5/20/2020 19:11:17,Melancolia,Melancolia
29,5/20/2020 20:59:54,"Encuentro, tristeza, calma",Calma Encuentro Tristeza
30,5/20/2020 22:14:09,"Alerta, melancolia, distraccion",Alerta Distraccion Melancolia
31,5/21/2020 9:03:53,Tristeza y melancolia ,Melancolia Tristeza
32,5/21/2020 11:07:25,Tension constante.,Tension
33,5/21/2020 17:52:11,Tristeza ,Tristeza
34,5/21/2020 18:03:34,"Melancolia, nostalgia, tristeza",Melancolia Nostalgia Tristeza
35,5/21/2020 18:10:45,Tranquilidad,Tranquilidad
36,5/21/2020 18:22:15,"Paz, quietud",Paz Quietud
37,5/21/2020 18:29:09,Tranquilidad ,Tranquilidad
38,5/21/2020 18:32:54,"Melancolia, Tristeza, Suspiro",Melancolia Tristeza
39,5/21/2020 18:46:35,Un tono de melancolia y alejamiento ,Melancolia
40,5/21/2020 18:59:42,angustiado,Angustia
41,5/21/2020 19:01:55,"relajacion, concentracion, resiliencia",Concentracion Relajacion Resiliencia
42,5/21/2020 19:26:34,Alegria,Alegria
43,5/21/2020 19:31:03,Serenidad ,Serenidad
44,5/21/2020 19:42:17,Melancolia,Melancolia
45,5/21/2020 20:08:17,"Empece a reflexionar sobre mi pasado, recorde a quines ya no estan entre nosotros, me senti con nostalgia. ",Nostalgia
46,5/21/2020 20:50:49,"Tristeza, nolstalgia",Nolstalgia Tristeza
47,5/21/2020 21:07:13,"Me causa nostalgia, algonde melancolia y me llevo recordar ciertos momentos tristes.",Melancolia Nostalgia Tristeza
48,5/21/2020 21:28:02,"Serenidad, un pequeno paroxismo, y serenidad de nuevo.",Serenidad Sobresalto
49,5/21/2020 22:28:39,"Tristeza, una despedida",Separacion Tristeza
50,5/21/2020 22:29:48,"Son imagenes y sensaciones las que experimente. Primero la imagen de un rio en el ocaso, lunas y vientos, paisajes a media luz. La emociones o sensaciones son de nostalgias y recuerdos lejanos pero idilicos.",Amor Nostalgia
51,5/21/2020 22:45:01,"Relajacion, vision mental de lago y bosque.",Relajacion
52,5/22/2020 7:15:39,"Tranquilidad, paz, calma",Calma Paz Tranquilidad
53,5/22/2020 8:59:32,"Saudade, anoranza y tristeza.",Anoranza Nostalgia Tristeza
54,5/22/2020 9:27:01,Relajacion ,Relajacion
55,5/22/2020 9:44:03,"Ansiedad, intranquila. Como si algo malo estuviera a punto de suceder.",Ansiedad Expectativa Intranquilidad
56,5/22/2020 9:46:25,Tranquilidad,Tranquilidad
57,5/22/2020 10:18:24,"No se me ocurre pensar en otra manera de expresar la profunda tristeza, angustia y depresion que aveces uno padece. Se oye un grito de queja que parece decir por que a mi? por que yo? y como no encuentra respuesta sucumbe.",Angustia Depresion Resignacion Tristeza
58,5/22/2020 12:41:36,"Melancolia, desesperacion, miedo, tristeza",Desesperacion Melancolia Miedo Tristeza
59,5/22/2020 13:00:39,Senti la alegria particular que puede sentirse al ver la luz que se filtra por entre las hojas de los arboles ,Alegria Asombro
60,5/22/2020 13:21:49,"Triste, pacifico, en algun punto doloroso, y al final una resignacion melancolica.",Dolor Melancolia Paz Resignacion Tristeza
61,5/22/20 21:22,melancolia,Melancolia
62,5/22/20 21:38,"Calma, tristeza, introspeccion, ansiedad en una parte ",Ansiedad Calma Introspeccion Tristeza
63,5/22/20 22:15,Nostalgia e intriga,Intriga Nostalgia
64,5/23/20 5:55,Esperanza,Esperanza
65,5/23/20 7:33,"Tranquilidad, reflexion.",Reflexion Tranquilidad
66,5/23/20 15:38,armonia y calma ,Armonia Calma
67,5/23/20 17:09,"Nostalgia, contemplacion.",Contemplacion Nostalgia
68,5/24/20 17:24,Tristeza,Tristeza
69,5/24/20 18:14,"Drama, tristeza, decepcion y aceptacion ",Aceptacion Decepcion Drama Tristeza
70,5/24/20 18:30,Paz,Paz
71,28/05/2020 16:15,"Tranquilidad, paz, nostalgia",Nostalgia Paz Tranquilidad
72,29/05/2020 13:45,"Nostalgia, anoranza pero no relacionado con la tristeza, si no como el recuerdo de algo muy agradable esperarias volviera a pasar. ",Anoranza Esperanza Nostalgia
