pid,marca_temporal,mozart,resumen
1,5/18/2020 10:48:27,Es algo alegre y pacifica al inicio de la presa y se vuelve un poco triste en cuanto va cerrando  ,Alegria Paz Tristeza
2,5/18/2020 14:08:17,"alegria, entusiasmo, movimiento, juego",Alegria Entusiasmo Jugueton
3,5/19/2020 11:38:42,"Alegria, tranquilidad",Alegria Tranquilidad
4,5/20/2020 11:08:53,"Esta musica, me hace sentir mas feliz, el sol entra por la ventana de la cocina y yo estoy haciendo la receta de un pastel, anadiendo paso por paso los ingredientes y mezclando todo con mucho orden y armonia y todo resulta bien ",Alegria Armonia Orden 
5,5/20/2020 11:27:42,"Tranquilidad, aburrimiento, monotonia",Aburrimiento Monotonia Tranquilidad 
6,5/20/2020 11:35:15,"Me senti motivado, energetico, alegre, agradecido por la vida ",Agradecimiento Alegria Energia Motivacion 
7,5/20/2020 11:51:03,Desasosiego pero en la pradera,Intranquilidad
8,5/20/2020 12:12:43,"Alegria, diversion ",Alegria Diversion
9,5/20/2020 12:16:18,"Jubilo, gracia, fineza, remite a la imagen de la corte renacentista",Finesa Gracia Jubilo 
10,5/20/2020 12:19:12,"Alegria pero controlada (sin gran excitacion o entusiasmo), sensacion de orden, de que todo encaja ",Alegria Armonia Orden 
11,5/20/2020 12:24:39,"Alegria, compania",Alegria Compania
12,5/20/2020 12:33:55,"Con esta pieza senti alegria, tranquilidad, esperanza y fortaleza, las fui sintiendo en ese orden conforme se iba reproduciendo la musica ( variantes de la emocion de felicidad)",Alegria Esperanza Fortaleza Tranquilidad 
13,5/20/2020 12:44:08,"Alegria, picardia, regocijo",Alegria Picardia Regocijo
14,5/20/2020 12:45:12,Alegria ,Alegria
15,5/20/2020 12:47:33,"me hizo relajarme, paz",Paz Relajacion 
16,5/20/2020 12:50:25,Siento alegria ,Alegria
17,5/20/2020 13:55:08,"Tranquilidad, musica para relajarse",Relajacion Tranquilidad 
18,5/20/2020 13:59:39,"Alegria, esperanza, placidez, bienestar ",Alegria Bienestar Esperanza Placidez 
19,5/20/2020 14:10:23,Alegria ,Alegria
20,5/20/2020 14:26:32,Alegria,Alegria
21,5/20/2020 14:45:57,Me senti muy feliz y muy relajada ,Felicidad Relajacion
22,5/20/2020 14:53:34,Sorpresa,Sorpresa
23,5/20/2020 15:12:11,Tranquilidad ,Tranquilidad
24,5/20/2020 15:12:30,Relajacion,Relajacion
25,5/20/2020 17:15:42,"Cambio total de tono ,sonoro, muy alegre y agradable al oido hasta el final",Agrado Alegria 
26,5/20/2020 17:42:13,Esta pieza me hizo recordar momentos felices ,Alegria
27,5/20/2020 19:08:25,Nostalgia de un recuerdo feliz ,Alegria Nostalgia 
28,5/20/2020 19:11:17,"Tranquilidad, calma",Calma Tranquilidad 
29,5/20/2020 20:59:54,"Luminosidad, colorido, alegria ",Alegria Exaltacion 
30,5/20/2020 22:14:09,"Alegria, tranquilidad",Alegria Tranquilidad
31,5/21/2020 9:03:53,Alegria ,Alegria
32,5/21/2020 11:07:25,Amabilidad y decencia ,Amabilidad Decencia 
33,5/21/2020 17:52:11,Optimismo,Optimismo
34,5/21/2020 18:03:34,"Entusiasmo, cierta alegria",alegria Entusiasmo 
35,5/21/2020 18:10:45,Alegria,Alegria
36,5/21/2020 18:22:15,"Alegria, juegos ",Alegria Juego
37,5/21/2020 18:29:09,Algo divertido ,Diversion
38,5/21/2020 18:32:54,"Relajacion, Motivacion, Alegria",Alegria Motivacion Relajacion 
39,5/21/2020 18:46:35,Una invitacion a la serenidad y el descanso,Descanso Serenidad 
40,5/21/2020 18:59:42,contento,Alegria
41,5/21/2020 19:01:55,"Alegria, dedicacion, emprendimiento, ",Alegria Dedicacion Emprendimiento
42,5/21/2020 19:26:34,Paz,Paz
43,5/21/2020 19:31:03,Melancolia ,Melancolia
44,5/21/2020 19:42:17,Tranquilidad,Tranquilidad
45,5/21/2020 20:08:17,"Me senti tranquilo pero para organizar, ordenar o limpiar un espacio en el cual paso tiempo realizando mis actividades docentes ",Orden Organizacion Tranquilidad 
46,5/21/2020 20:50:49,"Tranquilidad, anoranza",Anoranza Tranquilidad 
47,5/21/2020 21:07:13,"Esta musica me llevo a mi infancia, aquellos tiempos bonitos en donde solo lo importante para nosotros era jugar ",Juego
48,5/21/2020 21:28:02,"Alegria un tanto ludica, infantil ",Alegria Juego
49,5/21/2020 22:28:39,Bailar ballet,respuesta Sin
50,5/21/2020 22:29:48,"En esta ocasion no percibi imagenes, si no solo la percepcion acustica Me produjo sensaciones de pedanteria y altaneria ",Altaneria Pedanteria 
51,5/21/2020 22:45:01,Juego y diversion,Diversion Juego 
52,5/22/2020 7:15:39,"Alegria, seguridad, ganas de hacer cosas nuevas ",Alegria Motivacion Seguridad 
53,5/22/2020 8:59:32,"Alegria, placer y sensacion de equilibrio ",Alegria Equilibrio Placer 
54,5/22/2020 9:27:01,Tranquilidad,Tranquilidad
55,5/22/2020 9:44:03,Alegria,Alegria
56,5/22/2020 9:46:25,Alegria,Alegria
57,5/22/2020 10:18:24,Con esta pieza senti que era la creacion perfecta a la que no se podria agregar nada sin desmejorarla Senti satisfaccion sosiego y paz mezclado con alegria ,Alegria Paz Satisfaccion Sosiego 
58,5/22/2020 12:41:36,"Fiesta, baile, amor, romanticismo ",Amor Festividad Romanticismo
59,5/22/2020 13:00:39,Tristeza y resignacion ,Resignacion Tristeza 
60,5/22/2020 13:21:49,"Claro, alegre, ligero, optimista, resuelto solo en un momento muy corto un poco de melancolia ",Alegria Ligereza Melancolia Optimismo Resolucion 
61,5/22/20 21:22,"Relajacion, optimismo",Optimismo Relajacion 
62,5/22/20 21:38,"Alegria, calma, jugueton ",Alegria Calma Juego
63,5/22/20 22:15,"Felicidad, nostalgia, tristeza, ternura",Felicidad Nostalgia Ternura Tristeza 
64,5/23/20 5:55,Paz,Paz
65,5/23/20 7:33,"Alegria, ternura",Alegria Ternura
66,5/23/20 15:38,"Interes, fuerza y poder",Fuerza Interes Poder
67,5/23/20 17:09,"Gusto, alegria ",Alegria Gusto 
68,5/24/20 17:24,feliz y divertida,Diversion Felicidad 
69,5/24/20 18:14,"Tranquilidad , un sitio acogedor lejos del ruido externo, con olor a un rico cafe que te invita a leer y a relajarte ",Relajacion Tranquilidad 
70,5/24/20 18:30,Alegria ,Alegria
71,28/05/2020  04:15:38 p  m ,"Alegria, tranquilidad, ",Alegria Tranquilidad
72,29/05/2020  01:45:27 p  m ,"Tranquilidad, alegria y serenidad  ",Alegria Serenidad Tranquilidad
