pid,marca_temporal,voiles,resumen
1,5/18/2020 10:48:27,Esta pieza es un poco triste y miedosa  ,Miedo Tristeza
2,5/18/2020 14:08:17,curiosidad entusiasmo apertura flexibilidad diversion alegria experimentacion tranquilidad,Alegria Apertura Curiosidad Diversion Entusiasmo Experimentacion Flexibilidad Tranquilidad
3,5/19/2020 11:38:42,Intriga calma serenidad,Calma Intriga Serenidad
4,5/20/2020 11:08:53,Esta pieza me hace sentir que ando de puntitas a hurtadillas tratando de ocultarme para no ser encontrada con un poco de adrenalina despues llego a un lugar mas tranquilo donde puedo relajarme un poco pero no del todo debo mantenerme alerta,Alerta Miedo Tension Tranquilidad
5,5/20/2020 11:27:42,Esperanza reflexion ,Esperanza Reflexion
6,5/20/2020 11:35:15,Me senti como sin control  como esperando algo muy existencialista ,Descontrol Expectativa
7,5/20/2020 11:51:03,Aburrimiento,Aburrimiento
8,5/20/2020 12:12:43,Nostalgia tristeza decepcion tranquilidad ,Decepcion Nostalgia Tranquilidad Tristeza
9,5/20/2020 12:16:18,Una melancolia por el desastre ,Melancolia
10,5/20/2020 12:19:12,Duda expectativa sensacion de misterio de seguir a alguien que trata de huir de forma juguetona ,Duda Expectativa Juego Misterio
11,5/20/2020 12:24:39,Incertidumbre sorpresa,Incertidumbre sorpresa
12,5/20/2020 12:33:55,En esta pieza senti incertidumbre genere un estado de precaucion alerta; a la mitad de la pieza ese sentido de incertidumbre con alerta y precaucion disminuyeron y entonces experimente esa emocion relacionada con la curiosidad La incertidumbre alerta y precaucion entrarian en la emocion de temor ,Curiosidad Incertidumbre Temor
13,5/20/2020 12:44:08,Duda inquietud expectativa sospecha misterio,Duda Expectativa Inquietud Misterio Sospecha
14,5/20/2020 12:45:12,Impaciencia ,Impaciencia
15,5/20/2020 12:47:33,se sintio como si estuviera adentro de un sueno,Ensonacion
16,5/20/2020 12:50:25,Senti Odio ,Odio
17,5/20/2020 13:55:08,Suspenso incertidumbre,Incertidumbre Suspenso
18,5/20/2020 13:59:39,Energia empuje arrojo valentia persistencia esperanza ,Arrojo Empuje Energia Esperanza Persistencia Valentia
19,5/20/2020 14:10:23,Tranquilidad ,Tranquilidad
20,5/20/2020 14:26:32,Sorpresa,Sorpresa
21,5/20/2020 14:45:57,Me dio miedo y un poco de estres ,Estres Miedo
22,5/20/2020 14:53:34,Serenidad,Serenidad
23,5/20/2020 15:12:11,Ternura ,Ternura
24,5/20/2020 15:12:30,Espectativa en unos momentos calma y en otros incomodidad,Calma Expectativa Incomodidad
25,5/20/2020 17:15:42,Inicia con movimientos o sonidos suaves repetitivos hacia la mitad sube el tono por determinado espacio luego se torna suave como al comienzo repetitivo y va poco a poco perdiendose el sonido lentamente hasta el final,Paz Suavidad tranquilidad
26,5/20/2020 17:42:13,Esta pieza me hizo sentir altibajos como cuando estas en la espera o busqueda de algo ,Ansiedad Expectativa
27,5/20/2020 19:08:25,Curiosidad ,Curiosidad
28,5/20/2020 19:11:17,Incertidumbre ansiedad,Ansiedad Incertidumbre
29,5/20/2020 20:59:54,Misterio soledad,Misterio Soledad
30,5/20/2020 22:14:09,Intriga aburrimiento pereza,Aburrimiento Intriga Pereza
31,5/21/2020 9:03:53,Incertidumbre ,Incertidumbre
32,5/21/2020 11:07:25,Tranquilidad sensacion de esperanza ,Esperanza Tranquilidad
33,5/21/2020 17:52:11,Incertidumbre,Incertidumbre
34,5/21/2020 18:03:34,Intriga,Intriga
35,5/21/2020 18:10:45,Reflexion,Reflexion
36,5/21/2020 18:22:15,Misterio espera ,Expectativa Misterio 
37,5/21/2020 18:29:09,Angustia,Angustia
38,5/21/2020 18:32:54,Tranquilidad Paz interior Anoranza,Anoranza Paz Tranquilidad 
39,5/21/2020 18:46:35,Monotonia y aburrimiento sin invitacion al cambio ,Aburrimiento
40,5/21/2020 18:59:42,tranquilidad-casi me duermo jeje,Tranquilidad
41,5/21/2020 19:01:55,Recogimiento despertar animo estar alerta como si estuviera viendo ballet clasico,Alerta Recogimiento 
42,5/21/2020 19:26:34,Paz,Paz
43,5/21/2020 19:31:03,Regocijo ,Regocijo
44,5/21/2020 19:42:17,Suspenso,Suspenso
45,5/21/2020 20:08:17,Me mantuvo en un estado de expectativa de que algo pasaria o que alguien apareceria de repente o que algo inesperado sucederia El suspenso me provoco taquicardia ,Expectativa Suspenso
46,5/21/2020 20:50:49,Miedo intranquilidad,Intranquilidad Miedo
47,5/21/2020 21:07:13,Momentos de intriga y duda ,Duda Intriga
48,5/21/2020 21:28:02,Curiosidad primero; y satisfaccion despues ,Curiosidad Satisfaccion
49,5/21/2020 22:28:39,Caminar de puntitas persecusion misterio ,Ansiedad Misterio
50,5/21/2020 22:29:48,Esta pieza me produjo una sensacion de ligereza como si flotara hay una forma de buscar la no gravedad de la materia ,Ligereza
51,5/21/2020 22:45:01,Concentracion por hacer una labor ,Concentracion
